"","cowcode","year","warstds","ager","agexp","anoc","army85","autch98","auto4","autonomy","avgnabo","centpol3","coldwar","decade1","decade2","decade3","decade4","dem","dem4","demch98","dlang","drel","durable","ef","ef2","ehet","elfo","elfo2","etdo4590","expgdp","exrec","fedpol3","fuelexp","gdpgrowth","geo1","geo2","geo34","geo57","geo69","geo8","illiteracy","incumb","infant","inst","inst3","life","lmtnest","ln_gdpen","lpopns","major","manuexp","milper","mirps0","mirps1","mirps2","mirps3","nat_war","ncontig","nmgdp","nmdp4_alt","numlang","nwstate","oil","p4mchg","parcomp","parreg","part","partfree","plural","plurrel","pol4","pol4m","pol4sq","polch98","polcomp","popdense","presi","pri","proxregc","ptime","reg","regd4_alt","relfrac","seceduc","second","semipol3","sip2","sxpnew","sxpsq","tnatwar","trade","warhist","xconst"
"31",700,1975,0,105,31.47570038,0,47000,0,7,0,0.318015993,1,1,0,1,0,0,0,0,0,70,20,10,0.750796974,0.563696086,90,66,4356,1,14.02062035,4,0,13.9742403,0.022498102,0,0,0,1,0,0,85.90000153,0,197.6000061,0,0,37.20000076,4.198705196,-0.109814838,16.56853485,0,10.57063961,80,0,1,0,0,1,0,2507,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,21.52770042,0,28,9.54e-07,372,1,-3,0.271800011,7,0.252999991,0,0,0.095649399,0.009148807,1,28.86598015,0,1
"32",700,1976,0,106,33.67263031,0,47000,0,7,0,0.310123593,1,1,0,1,0,0,0,0,0,70,20,11,0.750796974,0.563696086,90,66,4356,1,12.67605972,4,0,20.29961014,0.022495673,0,0,0,1,0,0,85.40000153,0,194,0,0,40,4.198705196,-0.019182812,16.57710075,0,9.587985992,130,0,1,0,0,1,0,2721.333252,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,22.07508087,0,26,2.38e-07,384,1,-2.5,0.271800011,8,0.252999991,0,0,0.085319497,0.007279417,1,26.94836044,0,1
"33",700,1977,0,107,39.39014053,0,47000,0,7,0,0.310123593,1,1,0,1,0,0,0,0,0,70,20,12,0.750796974,0.563696086,90,66,4356,1,13.21739006,4,0,13.22420025,0.022382943,0,0,0,1,0,0,84.09999847,0,194,0,0,40,4.198705196,-0.022245623,16.58540726,0,11.51375008,142,0,1,0,0,1,0,2602.333252,-7,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,22.64562035,0,26,5.96e-08,396,1,-7,0.271800011,8,0.252999991,0,0,0.103522502,0.010716909,1,28.08695984,0,1
"34",700,1978,1,108,36.8364296,0,47000,0,7,0,0,1,1,0,1,0,0,0,0,0,70,20,13,0.750796974,0.563696086,90,66,4356,1,11.66289997,5,0,14.49208178,-0.002628722,0,0,0,1,0,0,82.90000153,0,194,0,1,40,4.198705196,-0.002001977,16.59370804,0,14.5761404,143,0,1,0,0,1,0,2338.333252,-7,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,23.23628998,0,26,1.49e-08,399,1,-7,0.271800011,8,0.252999991,0,0,0.077569596,0.006017042,1,26.48608017,0,1
"35",700,1979,0,109,13.88916998,1,47000,0,4.121012344,0,0,1,1,0,1,0,0,0,3.096103824,0,70,20,0,0.750796974,0.563696086,90,66,4356,1,10.84175014,5.283718317,0,14.6162204,0.000803296,0,0,0,1,0,0,82.09999847,0,194,0,1,40,4.198705196,0.006975583,16.60175514,0,28.32509138,110,0,1,0,0,1,0,2161.333252,-7,8,0,0,7,2.32790879,3.412579005,1,0,0.379999995,84,-1.02490852,0,47.2118862,0,4.198216432,23.84210968,0,26,1,399,1,-5,0.271800011,8,0.252999991,0,0,0.102470334,0.022081527,1,24.71380043,0,3.562772471
"36",700,1980,0,110,33.41910934,0,47000,0,7,0,0,1,1,0,0,1,0,0,0,0,70,20,0,0.750796974,0.563696086,90,66,4356,1,20.98581856,3,0,14.6211534,0.000679993,0,0,0,1,0,0,81.69999695,0,194,0,1,40,4.198705196,-0.034591425,16.60992241,0,30.2038002,89,0,0,1,0,1,0,1838.666626,-7,8,0,0,-7,1,4,1,0,0.379999995,84,-7,-7,49,0,1,24.45981026,0,26,1,399,1,-6,0.271800011,8,0.252999991,0,0.111111097,0.102335273,0.022050848,1,47.57341876,0,3
"37",700,1981,0,111,33.67287064,0,47000,0,7,0,0,1,1,0,0,1,0,0,0,0,70,20,1,0.750796974,0.563696086,90,66,4356,1,20.96820802,3,0,14.58626598,0.00081331,0,0,0,1,0,0,82,0,183,0,1,40.4878006,4.198705196,-0.012072606,16.61868858,0,38.50625992,40,0,0,1,0,1,0,1777.666626,-7,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,25.09009933,0,34,0.25,399,1,-7,0.271800011,10,0.252999991,0,0.111111097,0.102302486,0.022109002,1,47.52650066,0,3
"38",700,1982,0,112,26.17141914,0,47000,0,7,0,0,1,1,0,0,1,0,0,0,0,70,20,2,0.750796974,0.563696086,90,66,4356,1,20.99239991,3,0,14.5975054,0.000831478,0,0,0,1,0,0,80.5,0,183,0,0,40.4878006,4.198705196,0.021761447,16.63605499,0,34.01111984,43,0,0,1,0,1,0,1992.666626,-7,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,25.73311996,0,34,0.0625,399,1,-4,0.271800011,10,0.252999991,0,0.111111097,0.102232597,0.022011869,1,47.57244532,0,3
"39",700,1983,0,113,30.43815041,0,47000,0,7,0,0.168223694,1,1,0,0,1,0,0,0,0,70,20,3,0.750796974,0.563696086,90,66,4356,1,21.00596913,3,0,14.58463367,0.00082933,0,0,0,1,0,0,79.5,0,183,0,0,40.4878006,4.198705196,0.110646509,16.66169739,0,32.85823822,55,0,0,1,0,1,0,2111,-7,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,26.3885994,0,34,0.015625,399,1,-5,0.271800011,10,0.252999991,0,0.111111097,0.102488436,0.022184365,1,47.64121473,0,3
"40",700,1984,0,114,28.66019058,0,47000,0,7,0,0.168223694,1,1,0,0,1,0,0,0,0,70,20,4,0.750796974,0.563696086,90,66,4356,1,20.99633663,3,0,14.60727029,0.000902187,0,0,0,1,0,0,78.80000305,0,183,0,0,40.4878006,4.198705196,0.178146228,16.68749237,0,38.3454895,75,0,0,1,0,1,0,2123.333252,-7,8,0,0,0,1,4,1,0,0.379999995,84,-7,-7,49,0,1,27.05648041,0,34,0.00390625,399,1,-5,0.271800011,10,0.252999991,0,0.111111097,0.102643951,0.022204049,1,47.58344037,0,3
